Name,Album,Artist
Khoon Chala,Rang De Basanti,Mohit Chauhan
Bhaag D.K. Bose,Delhi Belly,Ram Sampath
Sadda Haq,Rockstar,Mohit Chauhan
Sher Aaya Sher,Sacred Games,Divine
Jee Karda,Badlapur,Divya Kumar
Khoon Chala,Rang De Basanti,Mohit Chauhan
Bhaag D.K. Bose,Delhi Belly,Ram Sampath
Sadda Haq,Rockstar,Mohit Chauhan
Sher Aaya Sher,Sacred Games,Divine
Jee Karda,Badlapur,Divya Kumar
Khoon Chala,Rang De Basanti,Mohit Chauhan
Bhaag D.K. Bose,Delhi Belly,Ram Sampath
Sadda Haq,Rockstar,Mohit Chauhan
Sher Aaya Sher,Sacred Games,Divine
Jee Karda,Badlapur,Divya Kumar
Khoon Chala,Rang De Basanti,Mohit Chauhan
Bhaag D.K. Bose,Delhi Belly,Ram Sampath
Sadda Haq,Rockstar,Mohit Chauhan
Sher Aaya Sher,Sacred Games,Divine
Jee Karda,Badlapur,Divya Kumar
Khoon Chala,Rang De Basanti,Mohit Chauhan
Bhaag D.K. Bose,Delhi Belly,Ram Sampath
Sadda Haq,Rockstar,Mohit Chauhan
Sher Aaya Sher,Sacred Games,Divine
Jee Karda,Badlapur,Divya Kumar
