Name,Album,Artist
Jalwa,Wanted,Wajid
Dhan Te Nan,Kaminey,Vishal Dadlani
Babuji Zara Dheere Chalo,Dum,Sonu Kakkar
Ek Do Teen,Baaghi 2,Shreya Ghoshal
Sheila Ki Jawani,Tees Maar Khan,Sunidhi Chauhan
Munni Badnaam Hui,Dabangg,Mamta Sharma
Fevicol Se,Dabangg 2,Mamta Sharma
Character Dheela,Ready,Neeraj Shridhar
Pinky,Zanjeer,Mamta Sharma
Aa Re Pritam Pyaare,Rowdy Rathore,Malaika Arora
Dhating Naach,Phata Poster Nikhla Hero,Nakash Aziz
Anarkali Disco Chali,Housefull 2,Mamta Sharma
Chikni Chameli,Agneepath,Shreya Ghoshal
Dil Mein Baji Guitar,Apna Sapna Money Money,Neeraj Shridhar
Tu Cheez Badi Hai Mast Mast,Mohra,Udit Narayan
Laila Main Laila,Raees,Pawni Pandey
Crazy Kiya Re,Dhoom 2,Sunidhi Chauhan
Desi Girl,Dostana,Shankar Mahadevan
Zandu Balm,Dabangg,Mamata Sharma
Kajra Re,Bunty Aur Babli,Alisha Chinai
Beedi Jalaile,Omkara,Sunidhi Chauhan
Baby Doll,Ragini MMS 2,Kanika Kapoor
Pardesi Pardesi,Raja Hindustani,Udit Narayan
Mashallah,Ek Tha Tiger,Wajid
Gandi Baat,R... Rajkumar,Mika Singh
