Name,Album,Artist
Darr,Darr,Alka Yagnik
Aa Zara,Murder 2,Sunidhi Chauhan
Tanhayee,Dil Chahta Hai,Sonu Nigam
Bhool Bhulaiyaa Title Track,Bhool Bhulaiyaa,Neeraj Shridhar
Mann Ki Lagan,Paap,Rahat Fateh Ali Khan
Aadat,Kalyug,Atif Aslam
Roke Na Ruke Naina,Badrinath Ki Dulhania,Arijit Singh
Hasi Ban Gaye,Hamari Adhuri Kahani,Ami Mishra
Mitwa,Kabhi Alvida Naa Kehna,Shankar Mahadevan
Laal Ishq,Goliyon Ki Raasleela Ram-Leela,Arijit Singh
Aye Khuda,Paathshaala,Salim Merchant
Khamoshiyan,Khamoshiyan,Arijit Singh
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Jee Karda,Badlapur,Divya Kumar
Lutt Gaye,Mumbai Saga,Jubin Nautiyal
Haan Tu Hain,Jannat,KK
Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan
Saiyyan,Kailasa,Kailash Kher
Tera Ban Jaunga,Kabir Singh,"Tulsi Kumar, Akhil Sachdeva"
Dil Ibadat,Tum Mile,KK
O Saathi,Baaghi 2,Atif Aslam
Raabta,Agent Vinod,Arijit Singh
Saware,Phantom,Arijit Singh
Main Dhoondne Ko Zamaane Mein,Heartless,Arijit Singh
