Name,Album,Artist
Aaj Jaane Ki Zid Na Karo,Ae Dil Hai Mushkil,Arijit Singh
Phir Se Udd Chala,Rockstar,Mohit Chauhan
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
Tum Mile,Tum Mile,Neeraj Shridhar
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,Rahul Pandey
Aaj Jaane Ki Zid Na Karo,Ae Dil Hai Mushkil,Arijit Singh
Phir Se Udd Chala,Rockstar,Mohit Chauhan
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
Tum Mile,Tum Mile,Neeraj Shridhar
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,Rahul Pandey
Aaj Jaane Ki Zid Na Karo,Ae Dil Hai Mushkil,Arijit Singh
Phir Se Udd Chala,Rockstar,Mohit Chauhan
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
Tum Mile,Tum Mile,Neeraj Shridhar
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,Rahul Pandey
Aaj Jaane Ki Zid Na Karo,Ae Dil Hai Mushkil,Arijit Singh
Phir Se Udd Chala,Rockstar,Mohit Chauhan
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
Tum Mile,Tum Mile,Neeraj Shridhar
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,Rahul Pandey
Aaj Jaane Ki Zid Na Karo,Ae Dil Hai Mushkil,Arijit Singh
Phir Se Udd Chala,Rockstar,Mohit Chauhan
Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
Tum Mile,Tum Mile,Neeraj Shridhar
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,Rahul Pandey
