Name,Album,Artist
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Tadap Tadap,Hum Dil De Chuke Sanam,KK
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Bhula Dena,Aashiqui 2,Mustafa Zahid
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Tadap Tadap,Hum Dil De Chuke Sanam,KK
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Bhula Dena,Aashiqui 2,Mustafa Zahid
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Tadap Tadap,Hum Dil De Chuke Sanam,KK
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Bhula Dena,Aashiqui 2,Mustafa Zahid
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Tadap Tadap,Hum Dil De Chuke Sanam,KK
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Bhula Dena,Aashiqui 2,Mustafa Zahid
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
Tadap Tadap,Hum Dil De Chuke Sanam,KK
Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
Bhula Dena,Aashiqui 2,Mustafa Zahid
Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
