Name,Album,Artist
Pardesi,Dev.D,Tochi Raina
O Gujariya,Queen,Shefali Alvares
Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
Matargashti,Tamasha,Mohit Chauhan
Pardesi,Dev.D,Tochi Raina
O Gujariya,Queen,Shefali Alvares
Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
Matargashti,Tamasha,Mohit Chauhan
Pardesi,Dev.D,Tochi Raina
O Gujariya,Queen,Shefali Alvares
Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
Matargashti,Tamasha,Mohit Chauhan
Pardesi,Dev.D,Tochi Raina
O Gujariya,Queen,Shefali Alvares
Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
Matargashti,Tamasha,Mohit Chauhan
Pardesi,Dev.D,Tochi Raina
O Gujariya,Queen,Shefali Alvares
Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
Matargashti,Tamasha,Mohit Chauhan
